Year,Units,Value
2000,sqkm,250.98296000000002
2001,sqkm,259.69746000000004
2002,sqkm,258.96608
2003,sqkm,258.94777999999997
2004,sqkm,259.65652
2005,sqkm,258.50748
2006,sqkm,263.55106
2007,sqkm,264.52324
2008,sqkm,271.73344
2010,sqkm,295.50257999999997
2015,sqkm,336.19338
2012,sqkm,332.1081
2009,sqkm,278.80904
2011,sqkm,312.50886
2013,sqkm,337.668
2014,sqkm,344.7002
