Year,Units,Value
2004,,
2005,,
2006,,
2007,,
2008,,746.3147097
2009,,830.3236634
2010,,981.9144161
2011,,1016.574074
2012,,1159.56764
2013,,1141.702524
2014,,1130.892401
2015,,1181.229984
2016,,1135.2801650000001
2017,,1151.3396710000002
2018,,1099.184019
