Year,Units,Value
2008,N$ (constant 2013),352.7502252
2009,N$ (constant 2013),385.7741366
2010,N$ (constant 2013),447.6181476
2011,N$ (constant 2013),453.7950951
2012,N$ (constant 2013),505.9979358
2013,N$ (constant 2013),486.5364426
2014,N$ (constant 2013),470.64470769999997
2015,N$ (constant 2013),480.3700628
