Year,Units,Value
2006,%,86.976386036961
2007,%,89.88344071214279
2008,%,90.8065290446471
2009,%,92.3173045772204
2010,%,93.65712214570499
2011,%,94.37475584877821
2012,%,93.08191403081909
2015,%,87.6
2016,%,86.9
2017,%,87.2
