Year,Units,Value
2008,,746.31
2009,,830.32
2010,,981.91
2011,,1016.57
2012,,1159.57
2013,,1141.7
2014,,1130.89
2015,,1181.23
2016,,1135.28
2017,,1151.34
2018,,1099.18
