Year,Units,Value
2004,%,61.55033
2005,%,65.80888
2006,%,80.92515
2007,%,80.92515
2008,%,80.92515
2009,%,80.92515
2010,%,80.92515
2011,%,84.98806
2012,%,95.69032
2013,%,95.69032
2014,%,95.69032
2015,%,95.69032
2016,%,95.69032
2017,%,95.69032
2018,%,95.69032
