Year,Units,Value
2004,Per 1000,13.9
2005,Per 1000,12.5
2006,Per 1000,11.4
2007,Per 1000,10.9
2008,Per 1000,9.6
2009,Per 1000,9.37
2010,Per 1000,8.19
2011,Per 1000,7.8
2012,Per 1000,7.0
2013,Per 1000,6.84
2014,Per 1000,6.82
2015,Per 1000,6.79
2016,Per 1000,4.37
2017,Per 1000,4.0
