Year,Units,Disaggregation,Region,GeoCode,Value
2006,,,,,
2009,,,,,
2015,,,,,
2018,,,,,
2006,%,Government Official ,,,71.9
2009,%,Traditional Leader,,,51.8
2015,%,Traditional Leader,,,75.8
2018,%,Government Official ,,,81.2
2018,%,Traditional Leader,,,69.5
,,,,,
,,,,,
,,,,,
,,,,,
