Year,Units,Disaggregation,Region,GeoCode,Value
2004,,,,,
2005,,,,,
2006,,,,,
2007,,,,,
2008,,,,,
2009,,,,,
2010,,,,,
2011,,,,,
2012,-,,,,30692.0
2013,,,,,
2014,,,,,
2015,,,,,
2004,-,CO2 kg/GDP USD,,,0.16577999999999998
2005,-,CO2 kg/GDP USD,,,0.1724
2006,-,CO2 kg/GDP USD,,,0.16134
2007,-,CO2 kg/GDP USD,,,0.15674000000000002
2008,-,CO2 kg/GDP USD,,,0.17223
2009,-,CO2 kg/GDP USD,,,0.17534
2010,-,CO2 kg/GDP USD,,,0.17045
2011,-,CO2 kg/GDP USD,,,0.16507
2012,-,CO2 kg/GDP USD,,,0.1628
2012,-,Net emissions (Gg),,,5240.0
2013,-,CO2 kg/GDP USD,,,0.16348
2014,-,CO2 kg/GDP USD,,,0.16063
2015,-,CO2 kg/GDP USD,,,0.16226
