Year,Units,Disaggregation,Value
2005,Litres pure alcohol / capita per year,Total,6.7
2010,Litres pure alcohol / capita per year,Total,11.5
2015,Litres pure alcohol / capita per year,Total,9.81
2016,Litres pure alcohol / capita per year,Total,9.81
