Year,Units,Total,Value
2007,%,Total,13.6
2008,%,Total,11.4
2009,%,Total,13
2010,%,Total,12.5
2011,%,Total,13.7
2012,%,Total,12.2
2013,%,Total,11
2014,%,Total,10
2015,%,Total,9.7
2016,%,Total,11
2017,%,Total,10.8
