Year,Units,Disaggregation,Region,GeoCode,Value
2016,%,Total,,,20
2016,%,Urban,,,31.6
2016,%,Rural,,,7.3
2016,%,Total,!Karas,1,24.7
2016,%,Total,Erongo,2,33
2016,%,Total,Hardap,3,11.9
2016,%,Total,Kavango East,4,13.4
2016,%,Total,Kavango West,5,4.5
2016,%,Total,Khomas,6,40.1
2016,%,Total,Kunene,7,90.7
2016,%,Total,Ohangwena,8,8.1
2016,%,Total,Omaheke,9,15
2016,%,Total,Omusati,10,7.4
2016,%,Total,Oshana,11,22.6
2016,%,Total,Oshikoto,12,11.3
2016,%,Total,Otjozondjupa,13,14.7
2016,%,Total,Zambezi,14,12.8
