Year,Units,Total,Region,GeoCode,Value
2008,Square Kilometer,Total,,,271.73344
2008,Square Kilometer,Total,!Karas,1,53.57344
2008,Square Kilometer,Total,Erongo,2,65.57716
2008,Square Kilometer,Total,Hardap,3,37.13232
2008,Square Kilometer,Total,Kavango East,4,19.27262
2008,Square Kilometer,Total,Kavango West,5,6.66238
2008,Square Kilometer,Total,Khomas,6,3.69976
2008,Square Kilometer,Total,Kunene,7,23.7425
2008,Square Kilometer,Total,Ohangwena,8,0.02148
2008,Square Kilometer,Total,Omaheke,9,0.29002
2008,Square Kilometer,Total,Omusati,10,13.36902
2008,Square Kilometer,Total,Oshana,11,3.14038
2008,Square Kilometer,Total,Oshikoto,12,0.09644
2008,Square Kilometer,Total,Otjozondjupa,13,10.23586
2008,Square Kilometer,Total,Zambezi,14,34.92006
2009,Square Kilometer,Total,,,278.80904
2009,Square Kilometer,Total,!Karas,1,53.6003
2009,Square Kilometer,Total,Erongo,2,65.67728
2009,Square Kilometer,Total,Hardap,3,38.13104
2009,Square Kilometer,Total,Kavango East,4,19.44074
2009,Square Kilometer,Total,Kavango West,5,6.7016
2009,Square Kilometer,Total,Khomas,6,3.70052
2009,Square Kilometer,Total,Kunene,7,23.59858
2009,Square Kilometer,Total,Ohangwena,8,0.02576
2009,Square Kilometer,Total,Omaheke,9,0.32432
2009,Square Kilometer,Total,Omusati,10,13.20974
2009,Square Kilometer,Total,Oshana,11,4.11408
2009,Square Kilometer,Total,Oshikoto,12,0.09834
2009,Square Kilometer,Total,Otjozondjupa,13,11.40188
2009,Square Kilometer,Total,Zambezi,14,38.78486
2010,Square Kilometer,Total,,,295.50258
2010,Square Kilometer,Total,!Karas,1,53.76018
2010,Square Kilometer,Total,Erongo,2,66.609
2010,Square Kilometer,Total,Hardap,3,39.04984
2010,Square Kilometer,Total,Kavango East,4,19.66174
2010,Square Kilometer,Total,Kavango West,5,6.7064
2010,Square Kilometer,Total,Khomas,6,3.79478
2010,Square Kilometer,Total,Kunene,7,23.47296
2010,Square Kilometer,Total,Ohangwena,8,0.02866
2010,Square Kilometer,Total,Omaheke,9,0.33656
2010,Square Kilometer,Total,Omusati,10,12.95016
2010,Square Kilometer,Total,Oshana,11,4.39
2010,Square Kilometer,Total,Oshikoto,12,0.10898
2010,Square Kilometer,Total,Otjozondjupa,13,12.095
2010,Square Kilometer,Total,Zambezi,14,52.53832
2011,Square Kilometer,Total,,,312.50886
2011,Square Kilometer,Total,!Karas,1,53.46344
2011,Square Kilometer,Total,Erongo,2,67.73214
2011,Square Kilometer,Total,Hardap,3,39.34178
2011,Square Kilometer,Total,Kavango East,4,19.67862
2011,Square Kilometer,Total,Kavango West,5,6.75122
2011,Square Kilometer,Total,Khomas,6,3.8733
2011,Square Kilometer,Total,Kunene,7,23.60418
2011,Square Kilometer,Total,Ohangwena,8,0.04096
2011,Square Kilometer,Total,Omaheke,9,0.3326
2011,Square Kilometer,Total,Omusati,10,12.55516
2011,Square Kilometer,Total,Oshana,11,5.02462
2011,Square Kilometer,Total,Oshikoto,12,0.11548
2011,Square Kilometer,Total,Otjozondjupa,13,12.14708
2011,Square Kilometer,Total,Zambezi,14,67.84828
2012,Square Kilometer,Total,,,332.1081
2012,Square Kilometer,Total,!Karas,1,53.7244
2012,Square Kilometer,Total,Erongo,2,67.88248
2012,Square Kilometer,Total,Hardap,3,40.52846
2012,Square Kilometer,Total,Kavango East,4,19.80006
2012,Square Kilometer,Total,Kavango West,5,6.74416
2012,Square Kilometer,Total,Khomas,6,4.30604
2012,Square Kilometer,Total,Kunene,7,23.65532
2012,Square Kilometer,Total,Ohangwena,8,0.05394
2012,Square Kilometer,Total,Omaheke,9,0.3844
2012,Square Kilometer,Total,Omusati,10,12.085
2012,Square Kilometer,Total,Oshana,11,6.20128
2012,Square Kilometer,Total,Oshikoto,12,0.17684
2012,Square Kilometer,Total,Otjozondjupa,13,12.84314
2012,Square Kilometer,Total,Zambezi,14,83.72258
2013,Square Kilometer,Total,,,337.668
2013,Square Kilometer,Total,!Karas,1,52.90996
2013,Square Kilometer,Total,Erongo,2,67.33476
2013,Square Kilometer,Total,Hardap,3,39.17982
2013,Square Kilometer,Total,Kavango East,4,19.78306
2013,Square Kilometer,Total,Kavango West,5,6.63084
2013,Square Kilometer,Total,Khomas,6,4.19344
2013,Square Kilometer,Total,Kunene,7,23.30906
2013,Square Kilometer,Total,Ohangwena,8,0.05872
2013,Square Kilometer,Total,Omaheke,9,0.36398
2013,Square Kilometer,Total,Omusati,10,10.82456
2013,Square Kilometer,Total,Oshana,11,5.85554
2013,Square Kilometer,Total,Oshikoto,12,0.17464
2013,Square Kilometer,Total,Otjozondjupa,13,11.67302
