Year,Units,Disaggregation,Value
2004,%,Total,61.55033
2005,%,Total,65.80888
2006,%,Total,80.92515
2007,%,Total,80.92515
2008,%,Total,80.92515
2009,%,Total,80.92515
2010,%,Total,80.92515
2011,%,Total,84.98806
2012,%,Total,95.69032
2013,%,Total,95.69032
2014,%,Total,95.69032
2015,%,Total,95.69032
2016,%,Total,95.69032
2017,%,Total,95.69032
2018,%,Total,95.69032
