Year,Units,Disaggregation,Value
2004,%,Real GDP Growth Rate (USD constant 2010),11.8
2005,%,Real GDP Growth Rate (USD constant 2010),0.8
2006,%,Real GDP Growth Rate (USD constant 2010),5.2
2007,%,Real GDP Growth Rate (USD constant 2010),4.7
2008,%,Real GDP Growth Rate (USD constant 2010),0.8
2009,%,Real GDP Growth Rate (USD constant 2010),-1.7
2010,%,Real GDP Growth Rate (USD constant 2010),2.4
2011,%,Real GDP Growth Rate (USD constant 2010),0.0
2012,%,Real GDP Growth Rate (USD constant 2010),-3.4
2013,%,Real GDP Growth Rate (USD constant 2010),4.8
2014,%,Real GDP Growth Rate (N$ constant 2010),7.0
2014,%,Real GDP Growth Rate (USD constant 2010),2.1
2015,%,Real GDP Growth Rate (USD constant 2010),3.7
2016,%,Real GDP Growth Rate (N$ constant 2010),4.2
2016,%,Real GDP Growth Rate (USD constant 2010),3.2
2017,%,Real GDP Growth Rate (USD constant 2010),-0.5
2018,%,Real GDP Growth Rate (N$ constant 2010),-3.9
