Year,Units,Disaggregation,Value
2008,%,Direct,3.25
2009,%,Direct,3.35
2010,%,Direct,3.25
2011,%,Direct,3.55
2012,%,Direct,3.48
2013,%,Direct,3.53
2014,%,,19.2
2014,%,Direct,3.46
2015,%,,19.2
2015,%,Direct,3.62
2016,%,Direct,3.41
2017,%,,14
2017,%,Direct,3.23
2018,%,,14.2
2018,%,Direct,3.33
