Year,Units,Total,Value
2006,USD,Total,206016.5
2007,USD,Total,410401.89
2008,USD,Total,417427.27
2009,USD,Total,257030
2010,USD,Total,1413530.26
2011,USD,Total,651388.81
2012,USD,Total,830482.6
2014,USD,Total,796265.2
