Year,Units,Disaggregation,Region,GeoCode,Value
2000,sqkm,Permanent Water Body (5y average),,,250.98296000000002
2000,sqkm,Permanent Water Body (5y average),!Karas,1.0,52.6449
2000,sqkm,Permanent Water Body (5y average),Erongo,2.0,56.18036
2000,sqkm,Permanent Water Body (5y average),Hardap,3.0,35.38556
2000,sqkm,Permanent Water Body (5y average),Kavango East,4.0,18.70264
2000,sqkm,Permanent Water Body (5y average),Kavango West,5.0,5.457999999999999
2000,sqkm,Permanent Water Body (5y average),Khomas,6.0,3.29186
2000,sqkm,Permanent Water Body (5y average),Kunene,7.0,19.236439999999998
2000,sqkm,Permanent Water Body (5y average),Ohangwena,8.0,0.013680000000000001
2000,sqkm,Permanent Water Body (5y average),Omaheke,9.0,0.26092
2000,sqkm,Permanent Water Body (5y average),Omusati,10.0,16.522920000000003
2000,sqkm,Permanent Water Body (5y average),Oshana,11.0,2.17818
2000,sqkm,Permanent Water Body (5y average),Oshikoto,12.0,0.41372
2000,sqkm,Permanent Water Body (5y average),Otjozondjupa,13.0,8.618960000000001
2000,sqkm,Permanent Water Body (5y average),Zambezi,14.0,32.07482
2001,sqkm,Permanent Water Body (5y average),,,259.69746000000004
2001,sqkm,Permanent Water Body (5y average),!Karas,1.0,55.01954
2001,sqkm,Permanent Water Body (5y average),Erongo,2.0,56.8842
2001,sqkm,Permanent Water Body (5y average),Hardap,3.0,37.1599
2001,sqkm,Permanent Water Body (5y average),Kavango East,4.0,19.13782
2001,sqkm,Permanent Water Body (5y average),Kavango West,5.0,6.3139400000000006
2001,sqkm,Permanent Water Body (5y average),Khomas,6.0,3.39684
2001,sqkm,Permanent Water Body (5y average),Kunene,7.0,22.48242
2001,sqkm,Permanent Water Body (5y average),Ohangwena,8.0,0.013340000000000001
2001,sqkm,Permanent Water Body (5y average),Omaheke,9.0,0.24996
2001,sqkm,Permanent Water Body (5y average),Omusati,10.0,16.23554
2001,sqkm,Permanent Water Body (5y average),Oshana,11.0,1.63358
2001,sqkm,Permanent Water Body (5y average),Oshikoto,12.0,0.24068
2001,sqkm,Permanent Water Body (5y average),Otjozondjupa,13.0,9.4372
2001,sqkm,Permanent Water Body (5y average),Zambezi,14.0,31.4925
2002,sqkm,Permanent Water Body (5y average),,,258.96608
2002,sqkm,Permanent Water Body (5y average),!Karas,1.0,55.281659999999995
2002,sqkm,Permanent Water Body (5y average),Erongo,2.0,56.97674
2002,sqkm,Permanent Water Body (5y average),Hardap,3.0,38.32906
2002,sqkm,Permanent Water Body (5y average),Kavango East,4.0,18.93516
2002,sqkm,Permanent Water Body (5y average),Kavango West,5.0,6.24184
