Year,Units,Disaggregation,Value
2004,%,Total,24.6
2005,%,Total,25.2
2006,%,Total,26.8
2007,%,Total,29.7
2008,%,Total,33.5
2009,%,Total,36.5
2010,%,Total,37.6
2011,%,Total,36.3
2012,%,Total,33.9
2013,%,Total,31.4
2014,%,Total,29.7
2015,%,Total,28.8
