Year,Units,Total,Value
2004,%,Total,32.11
2005,%,Total,32.06
2006,%,Total,32.86
2007,%,Total,32.77
2008,%,Total,27.03
2009,%,Total,27.08
2010,%,Total,26.37
2011,%,Total,27.94
2012,%,Total,28.56
2013,%,Total,28.27
2014,%,Total,27.62
2015,%,Total,26.47
