Year,Units,Disaggregation,Value
2010,%,Total GERD,0.1
2010,%,Share of Funds Business,19.83
2010,%,Share of Funds Government,78.63
2010,%,Share of Funds Abroad,1.54
2014,%,Total GERD,0.34
2014,%,Share of Funds Business,11.1
2014,%,Share of Funds Government,63.22
2014,%,Share of Funds Private Non Profit,3.87
2014,%,Share of Funds Abroad,15.81
2021,%,NDP5 Target,1
