Year,Units,Total,Value
2004,Score,Total,0.52
2005,Score,Total,0.49
2006,Score,Total,0.44
2007,Score,Total,0.55
2008,Score,Total,0.34
2009,Score,Total,0.4
2010,Score,Total,0.38
2011,Score,Total,0.49
2012,Score,Total,0.4
2013,Score,Total,0.44
2014,Score,Total,0.34
2015,Score,Total,0.33
