Year,Units,Disaggregation,Region,GeoCode,Value
2000,%,Total,,,20.2
2000,%,Urban,,,18.9
2000,%,Rural,,,22.6
2000,%,Total,!Karas,1.0,27.3
2000,%,Total,Erongo,2.0,19.1
2000,%,Total,Hardap,3.0,18.3
2000,%,Total,Kavango East,4.0,24.3
2000,%,Total,Kavango West,5.0,24.3
2000,%,Total,Khomas,6.0,14.1
2000,%,Total,Kunene,7.0,22.3
2000,%,Total,Ohangwena,8.0,28.0
2000,%,Total,Omaheke,9.0,9.9
2000,%,Total,Oshana,11.0,26.2
2000,%,Total,Oshikoto,12.0,28.7
2000,%,Total,Otjozondjupa,13.0,15.2
2006,%,Total,,,13.9
2006,%,Urban,,,17.5
2006,%,Rural,,,9.5
2006,%,Total,!Karas,1.0,15.9
2006,%,Total,Erongo,2.0,14.1
2006,%,Total,Hardap,3.0,12.2
2006,%,Total,Kavango East,4.0,11.2
2006,%,Total,Kavango West,5.0,11.2
2006,%,Total,Khomas,6.0,20.7
2006,%,Total,Kunene,7.0,10.9
2006,%,Total,Ohangwena,8.0,11.1
2006,%,Total,Omaheke,9.0,20.3
2006,%,Total,Omusati,10.0,10.4
2006,%,Total,Oshana,11.0,10.6
2006,%,Total,Oshikoto,12.0,10.4
2006,%,Total,Otjozondjupa,13.0,14.3
2006,%,Total,Zambezi,14.0,5.6
2013,%,Total,,,19.4
2013,%,Urban,,,21.9
2013,%,Rural,,,13.4
2013,%,Total,!Karas,1.0,13.7
2013,%,Total,Erongo,2.0,14.8
2013,%,Total,Hardap,3.0,18.7
2013,%,Total,Kavango East,4.0,14.3
2013,%,Total,Kavango West,5.0,14.3
2013,%,Total,Khomas,6.0,29.2
2013,%,Total,Kunene,7.0,20.0
2013,%,Total,Ohangwena,8.0,12.3
2013,%,Total,Omaheke,9.0,14.8
2013,%,Total,Omusati,10.0,18.8
2013,%,Total,Oshana,11.0,16.7
2013,%,Total,Oshikoto,12.0,11.9
2013,%,Total,Otjozondjupa,13.0,15.3
2013,%,Total,Zambezi,14.0,14.6
