Year,Units,Total,Value
2004,%,Total,6.70158
2005,%,Total,6.70158
2006,%,Total,6.70158
2007,%,Total,6.70158
2008,%,Total,7.8691
2009,%,Total,7.08091
2010,%,Total,7.45197
2011,%,Total,7.44534
2012,%,Total,7.88363
2013,%,Total,7.28755
2014,%,Total,7.34891
2015,%,Total,7.34891
