Year,Units,Disaggregation,Value
2009,-,Economic Loss of floods to GDP [%],1
2011,-,Economic Loss [Mio USD],12
2012,-,Economic Loss [Mio USD],12
2013,-,Economic Loss [Mio USD],76
2014,-,Economic Loss [Mio USD],76
2015,-,Economic Loss [Mio USD],124
2016,-,Economic Loss [Mio USD],124
2017,-,Economic Loss [Mio USD],60
2018,-,Economic Loss [Mio USD],60
