Year,Units,Disaggregation,Value
2017,%,Proportion to full SDG indicators,38.9
2017,%,Proportion to provided SDG indicators,58.6
2018,%,Proportion to full SDG indicators,38.9
2018,%,Proportion to provided SDG indicators,58.6
