Year,Units,Disaggregation,Value
2012,%,JSC- full time Computer Studies (>=D),52.2
2012,%,NSSC-O Computer Studies (>=D),73.9
2015,%,JSC- full time Computer Studies (>=D),50.2
2015,%,NSSC-O Computer Studies (>=D),70.1
2016,%,Used PC (Total),26.8
2016,%,Used PC (Rural),11.1
2016,%,Used PC (Urban),41
2016,%,JSC- full time Computer Studies (>=D),53.2
2016,%,NSSC-O Computer Studies (>=D),74.9
2017,%,JSC- full time Computer Studies (>=D),50.8
2017,%,NSSC-O Computer Studies (>=D),79.7
