Year,Units,Disaggregation,Value
2000,Number,Plant breeds,1199
2005,Number,Plant breeds,1698
2010,Number,Plant breeds,1698
2012,Number,Plant breeds,1829
2014,Number,Plant breeds,1858
2016,Number,Plant breeds,1890
2017,Number,Plant breeds,1890
