Year,Units,Total,Value
2004,%,Total,26.3889
2005,%,Total,25.0
2006,%,Total,26.9231
2007,%,Total,26.9231
2008,%,Total,26.9231
2009,%,Total,26.9231
2010,%,Total,26.8657
2011,%,Total,24.359
2012,%,Total,24.359
2013,%,Total,24.359
2014,%,Total,25.641
2015,%,Total,41.3462
2016,%,Total,41.3462
2017,%,Total,41.3462
2018,%,Total,46.1538
