Year,Units,Total,Value
2004,score,Total,0.96764
2005,score,Total,0.95241
2006,score,Total,0.96715
2007,score,Total,0.95093
2008,score,Total,0.96696
2009,score,Total,0.94975
2010,score,Total,0.94912
2011,score,Total,0.96656
2012,score,Total,0.96841
2013,score,Total,0.96647
2014,score,Total,0.96903
2015,score,Total,0.96644
2016,score,Total,0.97011
2017,score,Total,0.94551
2018,score,Total,0.97068
