Year,Units,Disaggregation,Value
2010,Millions,Total,0.9990000000000001
2011,Millions,Total,1.01
2012,Millions,Total,1.044
2013,Millions,Total,1.04
2014,Millions,Total,1.048
2015,Millions,Total,1.073
2016,Millions,Total,1.097
