Year,Units,Disaggregation,Value
2004,kg/USD,CO2 / GDP,0.16578
2005,kg/USD,CO2 / GDP,0.1724
2006,kg/USD,CO2 / GDP,0.16134
2007,kg/USD,CO2 / GDP,0.15674
2008,kg/USD,CO2 / GDP,0.17223
2009,kg/USD,CO2 / GDP,0.17534
2010,kg/USD,CO2 / GDP,0.17045
2011,kg/USD,CO2 / GDP,0.16507
2012,kg/USD,CO2 / GDP,0.1628
2012,Gg,Total Emissions,30692
2012,Gg,Net Emissions,5240
2013,kg/USD,CO2 / GDP,0.16348
2014,kg/USD,CO2 / GDP,0.16063
2015,kg/USD,CO2 / GDP,0.16226
