Year,Units,Disaggregation,Value
2004,Million USD (Constant 2016),Total,7.27847
2005,Million USD (Constant 2016),Total,2.14314
2006,Million USD (Constant 2016),Total,3.97004
2007,Million USD (Constant 2016),Total,5.44365
2008,Million USD (Constant 2016),Total,9.91494
2009,Million USD (Constant 2016),Total,10.51273
2010,Million USD (Constant 2016),Total,12.33265
2011,Million USD (Constant 2016),Total,48.66839
2012,Million USD (Constant 2016),Total,15.30672
2013,Million USD (Constant 2016),Total,14.412
2014,Million USD (Constant 2016),Total,11.28233
2015,Million USD (Constant 2016),Total,2.52371
2016,Million USD (Constant 2016),Total,9.7405
