Year,Units,Disaggregation,Value
2004,%,Total,0.22
2005,%,Total,0.24
2006,%,Total,0.21
2007,%,Total,0.18
2008,%,Total,0.16
2009,%,Total,0.87
2010,%,Total,0.61
2011,%,Total,0.64
2012,%,Total,0.61
2013,%,Total,0.51
2014,%,Total,0.63
2015,%,Total,0.41
