Year,Units,Disaggregation,Value
2010,Mio,Total,0.999
2011,Mio,Total,1.01
2012,Mio,Total,1.044
2013,Mio,Total,1.04
2014,Mio,Total,1.048
2015,Mio,Total,1.073
2016,Mio,Total,1.097
