Year,Units,Total,Disaggregation,Region,GeoCode,Value
2013,%,Total,,,,3.7
2013,%,,Urban,,,3.9
2013,%,,Rural,,,3.5
2013,%,,,!Karas,1,5.6
2013,%,,,Erongo,2,4.4
2013,%,,,Hardap,3,7.2
2013,%,,,Kavango East,4,10
2013,%,,,Kavango West,5,10
2013,%,,,Khomas,6,3.5
2013,%,,,Kunene,7,1.4
2013,%,,,Ohangwena,8,1.5
2013,%,,,Omaheke,9,7.8
2013,%,,,Omusati,10,1.5
2013,%,,,Oshana,11,1.4
2013,%,,,Oshikoto,12,3.1
2013,%,,,Otjozondjupa,13,2.3
2013,%,,,Zambezi,14,4
