Year,Units,Disaggregation,Value
2014,%,being at risk of extinction,50
2014,%,being not-at-risk of extinction,30
2015,%,being at risk of extinction,50
2015,%,being not-at-risk of extinction,30
2016,%,being at risk of extinction,50
2016,%,being not-at-risk of extinction,30
2017,%,being at risk of extinction,50
2017,%,being not-at-risk of extinction,30
2018,%,being at risk of extinction,50
2018,%,being not-at-risk of extinction,30
