Year,Units,Disaggregation,Region,GeoCode,Value
2000,%,,,,9.1
2006,%,,,,7.5
2013,%,,,,6.2
2013,%,Total F (Wasting),,,3.9
2000,%,Total F (Wasting),,,9.1
2000,%,Total M (Wasting),,,9.2
2000,%,Urban (Wasting),,,6.6
2000,%,Rural (Wasting),,,10.0
2000,%,Total (Wasting),!Karas,1.0,5.9
2000,%,Total (Wasting),Erongo,2.0,4.9
2000,%,Total (Wasting),Hardap,3.0,12.6
2000,%,Total (Wasting),Kavango East,4.0,8.4
2000,%,Total (Wasting),Kavango West,5.0,8.4
2000,%,Total (Wasting),Khomas,6.0,4.8
2000,%,Total (Wasting),Kunene,7.0,6.8
2000,%,Total (Wasting),Ohangwena,8.0,14.8
2000,%,Total (Wasting),Omaheke,9.0,11.1
2000,%,Total (Wasting),Omusati,10.0,6.3
2000,%,Total (Wasting),Oshana,11.0,13.5
2000,%,Total (Wasting),Oshikoto,12.0,9.4
2000,%,Total (Wasting),Otjozondjupa,13.0,6.9
2000,%,Total (Wasting),Zambezi,14.0,7.4
2006,%,Total F (Wasting),,,7.6
2006,%,Total M (Wasting),,,7.3
2006,%,Urban (Wasting),,,5.6
2006,%,Rural (Wasting),,,8.3
2006,%,Total (Overweight),,,4.3
2006,%,Total F (Overweight),,,4.2
2006,%,Total M (Overweight),,,4.5
2006,%,Total Urban (Overweight),,,7.4
2006,%,Total Rural (Overweight),,,2.8
2006,%,Total (Wasting),!Karas,1.0,7.7
2006,%,Total (Wasting),Erongo,2.0,3.2
2006,%,Total (Wasting),Hardap,3.0,10.8
2006,%,Total (Wasting),Kavango East,4.0,6.9
2006,%,Total (Wasting),Kavango West,5.0,6.9
2006,%,Total (Wasting),Khomas,6.0,5.3
2006,%,Total (Wasting),Kunene,7.0,5.2
2006,%,Total (Wasting),Ohangwena,8.0,6.9
2006,%,Total (Wasting),Omaheke,9.0,5.5
2006,%,Total (Wasting),Omusati,10.0,10.1
2006,%,Total (Wasting),Oshana,11.0,9.6
2006,%,Total (Wasting),Oshikoto,12.0,11.2
2006,%,Total (Wasting),Otjozondjupa,13.0,8.6
2006,%,Total (Wasting),Zambezi,14.0,5.3
2013,%,Total M (Wasting),,,8.6
2013,%,Urban (Wasting),,,5.0
2013,%,Rural (Wasting),,,6.9
2013,%,Total (Overweight),,,3.4
2013,%,Total F (Overweight),,,3.7
2013,%,Total M (Overweight),,,3.1
2013,%,Total Urban (Overweight),,,4.1
2013,%,Total Rural (Overweight),,,3.0
2013,%,Total (Wasting),!Karas,1.0,5.6
2013,%,Total (Wasting),Erongo,2.0,8.1
2013,%,Total (Wasting),Hardap,3.0,8.2
2013,%,Total (Wasting),Kavango East,4.0,8.5
2013,%,Total (Wasting),Kavango West,5.0,8.5
2013,%,Total (Wasting),Khomas,6.0,3.5
2013,%,Total (Wasting),Kunene,7.0,6.1
2013,%,Total (Wasting),Ohangwena,8.0,5.4
2013,%,Total (Wasting),Omaheke,9.0,10.4
2013,%,Total (Wasting),Omusati,10.0,6.0
2013,%,Total (Wasting),Oshana,11.0,4.5
2013,%,Total (Wasting),Oshikoto,12.0,8.5
2013,%,Total (Wasting),Otjozondjupa,13.0,4.3
2013,%,Total (Wasting),Zambezi,14.0,5.7
