Year,Units,Disaggregation,Value
2007,%,Total,39.64080996
2008,%,Total,40.28326511
2009,%,Total,41.65580876
2010,%,Total,41.97024177
2011,%,Total,42.60886936
2012,%,Total,42.48951939
2013,%,Total,42.31301713
2014,%,Total,41.69915612
2015,%,Total,42.3
2016,%,Total,42.09083129
2017,%,Total,41.6
