Year,Units,Disaggregation,Value
2014,per million inhabitants,Total [per Million Inhabitants],343
2014,per 1000,From Employed Person [per 1000],0.5
2017,per million inhabitants,Total [per Million Inhabitants],141
2018,per million inhabitants,Total [per Million Inhabitants],143
