Year,Units,Disaggregation,Value
2004,Mio USD (Constant 2016),Total,7.2784699999999996
2005,Mio USD (Constant 2016),Total,2.1431400000000003
2006,Mio USD (Constant 2016),Total,3.97004
2007,Mio USD (Constant 2016),Total,5.44365
2008,Mio USD (Constant 2016),Total,9.91494
2009,Mio USD (Constant 2016),Total,10.51273
2010,Mio USD (Constant 2016),Total,12.33265
2011,Mio USD (Constant 2016),Total,48.66839
2012,Mio USD (Constant 2016),Total,15.30672
2013,Mio USD (Constant 2016),Total,14.412
2014,Mio USD (Constant 2016),Total,11.28233
2015,Mio USD (Constant 2016),Total,2.52371
2016,Mio USD (Constant 2016),Total,9.7405
