Year,Units,Disaggregation,Value
2011,%,< 5y registered/ total 5y,78.3
2011,%,< 5y registered/ total registered,84.9
2012,%,< 5y registered/ total registered,79.7
2013,%,< 5y registered/ total registered,75.3
2014,%,< 5y registered/ total registered,70.05
2015,%,< 5y registered/ total registered,69.2
2016,%,< 5y registered/ total 5y,78.1
2016,%,< 5y registered/ total registered,70.9
