Year,Units,Disaggregation,Value
2013,%,Total Revenue per Fiscal GDP,33.05517214
2013,%,Tax Revenue per Fiscal GDP,30.68659542
2013,%,Total Revenue per Annual GDP,34.13007362
2013,%,Tax Revenue per Annual GDP,31.68447456
2014,%,Total Revenue per Fiscal GDP,35.42662939
2014,%,Tax Revenue per Fiscal GDP,33.23210966
2014,%,Total Revenue per Annual GDP,35.98293493
2014,%,Tax Revenue per Annual GDP,33.75395458
2015,%,Total Revenue per Fiscal GDP,34.51980884
2015,%,Tax Revenue per Fiscal GDP,32.42458589
2015,%,Total Revenue per Annual GDP,34.70013259
2015,%,Tax Revenue per Annual GDP,32.59396467
2016,%,Total Revenue per Fiscal GDP,30.98576963
2016,%,Tax Revenue per Fiscal GDP,29.02239333
2016,%,Total Revenue per Annual GDP,30.64045878
2016,%,Tax Revenue per Annual GDP,28.69896269
2017,%,Total Revenue per Fiscal GDP,34.19744897
2017,%,Tax Revenue per Fiscal GDP,31.76570537
2017,%,Total Revenue per Annual GDP,32.54007364
2017,%,Tax Revenue per Annual GDP,30.22618421
