Year,Units,Disaggregation,Value
2009,%,Economic Loss of floods to GDP [%],1
2011,Millions,Economic Loss [Mio USD],12
2012,Millions,Economic Loss [Mio USD],12
2013,Millions,Economic Loss [Mio USD],76
2014,Miilions,Economic Loss [Mio USD],76
2015,Millions,Economic Loss [Mio USD],124
2016,Millions,Economic Loss [Mio USD],124
2017,Millions,Economic Loss [Mio USD],60
2018,Millions,Economic Loss [Mio USD],60
