Year,Units,Total,Value
2007,%,Total,21.28834256
2008,%,Total,21.12935203
2009,%,Total,22.13816577
2010,%,Total,23.3320016
2011,%,Total,24.96670662
2012,%,Total,22.32744423
2013,%,Total,23.68232458
2014,%,Total,23.86947529
2015,%,Total,23.05124498
2016,%,Total,21.98404185
2017,%,Total,21.87933917
