Year,Units,Disaggregation,Region,GeoCode,Value
2000,per 1000,,,,96.0
2005,per 1000,,,,72.83
2010,per 1000,,,,2.5
2015,per 1000,,,,14.4
2016,per 1000,,,,29.23
